Date;Start_hour;End_hour;Capacity_factor
01/01/2019;00:00;01:00;0.962
01/01/2019;01:00;02:00;0.975
01/01/2019;02:00;03:00;0.984
01/01/2019;03:00;04:00;0.990
01/01/2019;04:00;05:00;0.991
01/01/2019;05:00;06:00;0.991
01/01/2019;06:00;07:00;0.991
01/01/2019;07:00;08:00;0.988
01/01/2019;08:00;09:00;0.980
01/01/2019;09:00;10:00;0.966
01/01/2019;10:00;11:00;0.940
01/01/2019;11:00;12:00;0.909
01/01/2019;12:00;13:00;0.911
01/01/2019;13:00;14:00;0.938
01/01/2019;14:00;15:00;0.967
01/01/2019;15:00;16:00;0.984
01/01/2019;16:00;17:00;0.991
01/01/2019;17:00;18:00;0.991
01/01/2019;18:00;19:00;0.990
01/01/2019;19:00;20:00;0.991
01/01/2019;20:00;21:00;0.990
01/01/2019;21:00;22:00;0.989
01/01/2019;22:00;23:00;0.987
01/01/2019;23:00;00:00;0.985
02/01/2019;00:00;01:00;0.987
02/01/2019;01:00;02:00;0.991
02/01/2019;02:00;03:00;0.991
02/01/2019;03:00;04:00;0.991
02/01/2019;04:00;05:00;0.991
02/01/2019;05:00;06:00;0.989
02/01/2019;06:00;07:00;0.987
02/01/2019;07:00;08:00;0.983
02/01/2019;08:00;09:00;0.980
02/01/2019;09:00;10:00;0.978
02/01/2019;10:00;11:00;0.979
02/01/2019;11:00;12:00;0.975
02/01/2019;12:00;13:00;0.971
02/01/2019;13:00;14:00;0.964
02/01/2019;14:00;15:00;0.955
02/01/2019;15:00;16:00;0.943
02/01/2019;16:00;17:00;0.911
02/01/2019;17:00;18:00;0.871
02/01/2019;18:00;19:00;0.831
02/01/2019;19:00;20:00;0.787
02/01/2019;20:00;21:00;0.750
02/01/2019;21:00;22:00;0.737
02/01/2019;22:00;23:00;0.741
02/01/2019;23:00;00:00;0.768
03/01/2019;00:00;01:00;0.801
03/01/2019;01:00;02:00;0.827
03/01/2019;02:00;03:00;0.855
03/01/2019;03:00;04:00;0.846
03/01/2019;04:00;05:00;0.827
03/01/2019;05:00;06:00;0.805
03/01/2019;06:00;07:00;0.765
03/01/2019;07:00;08:00;0.706
03/01/2019;08:00;09:00;0.621
03/01/2019;09:00;10:00;0.510
03/01/2019;10:00;11:00;0.391
03/01/2019;11:00;12:00;0.281
03/01/2019;12:00;13:00;0.223
03/01/2019;13:00;14:00;0.231
03/01/2019;14:00;15:00;0.208
03/01/2019;15:00;16:00;0.144
03/01/2019;16:00;17:00;0.099
03/01/2019;17:00;18:00;0.062
03/01/2019;18:00;19:00;0.070
03/01/2019;19:00;20:00;0.146
03/01/2019;20:00;21:00;0.234
03/01/2019;21:00;22:00;0.328
03/01/2019;22:00;23:00;0.394
03/01/2019;23:00;00:00;0.469
04/01/2019;00:00;01:00;0.521
04/01/2019;01:00;02:00;0.568
04/01/2019;02:00;03:00;0.617
04/01/2019;03:00;04:00;0.654
04/01/2019;04:00;05:00;0.663
04/01/2019;05:00;06:00;0.676
04/01/2019;06:00;07:00;0.707
04/01/2019;07:00;08:00;0.666
04/01/2019;08:00;09:00;0.601
04/01/2019;09:00;10:00;0.529
04/01/2019;10:00;11:00;0.526
04/01/2019;11:00;12:00;0.547
04/01/2019;12:00;13:00;0.531
04/01/2019;13:00;14:00;0.591
04/01/2019;14:00;15:00;0.677
04/01/2019;15:00;16:00;0.720
04/01/2019;16:00;17:00;0.719
04/01/2019;17:00;18:00;0.724
04/01/2019;18:00;19:00;0.718
04/01/2019;19:00;20:00;0.690
04/01/2019;20:00;21:00;0.647
04/01/2019;21:00;22:00;0.605
04/01/2019;22:00;23:00;0.559
04/01/2019;23:00;00:00;0.526
05/01/2019;00:00;01:00;0.512
05/01/2019;01:00;02:00;0.517
05/01/2019;02:00;03:00;0.494
05/01/2019;03:00;04:00;0.471
05/01/2019;04:00;05:00;0.466
05/01/2019;05:00;06:00;0.449
05/01/2019;06:00;07:00;0.418
05/01/2019;07:00;08:00;0.402
05/01/2019;08:00;09:00;0.395
05/01/2019;09:00;10:00;0.386
05/01/2019;10:00;11:00;0.358
05/01/2019;11:00;12:00;0.345
05/01/2019;12:00;13:00;0.310
05/01/2019;13:00;14:00;0.320
05/01/2019;14:00;15:00;0.391
05/01/2019;15:00;16:00;0.432
05/01/2019;16:00;17:00;0.428
05/01/2019;17:00;18:00;0.382
05/01/2019;18:00;19:00;0.314
05/01/2019;19:00;20:00;0.243
05/01/2019;20:00;21:00;0.181
05/01/2019;21:00;22:00;0.128
05/01/2019;22:00;23:00;0.085
05/01/2019;23:00;00:00;0.055
06/01/2019;00:00;01:00;0.031
06/01/2019;01:00;02:00;0.015
06/01/2019;02:00;03:00;0.008
06/01/2019;03:00;04:00;0.007
06/01/2019;04:00;05:00;0.007
06/01/2019;05:00;06:00;0.016
06/01/2019;06:00;07:00;0.034
06/01/2019;07:00;08:00;0.057
06/01/2019;08:00;09:00;0.084
06/01/2019;09:00;10:00;0.100
06/01/2019;10:00;11:00;0.109
06/01/2019;11:00;12:00;0.120
06/01/2019;12:00;13:00;0.133
06/01/2019;13:00;14:00;0.167
06/01/2019;14:00;15:00;0.217
06/01/2019;15:00;16:00;0.242
06/01/2019;16:00;17:00;0.245
06/01/2019;17:00;18:00;0.237
06/01/2019;18:00;19:00;0.228
06/01/2019;19:00;20:00;0.225
06/01/2019;20:00;21:00;0.233
06/01/2019;21:00;22:00;0.233
06/01/2019;22:00;23:00;0.202
06/01/2019;23:00;00:00;0.146
07/01/2019;00:00;01:00;0.107
07/01/2019;01:00;02:00;0.100
07/01/2019;02:00;03:00;0.120
07/01/2019;03:00;04:00;0.125
07/01/2019;04:00;05:00;0.129
07/01/2019;05:00;06:00;0.147
07/01/2019;06:00;07:00;0.171
07/01/2019;07:00;08:00;0.186
07/01/2019;08:00;09:00;0.205
07/01/2019;09:00;10:00;0.252
07/01/2019;10:00;11:00;0.307
07/01/2019;11:00;12:00;0.328
07/01/2019;12:00;13:00;0.362
07/01/2019;13:00;14:00;0.472
07/01/2019;14:00;15:00;0.607
07/01/2019;15:00;16:00;0.635
07/01/2019;16:00;17:00;0.639
07/01/2019;17:00;18:00;0.782
07/01/2019;18:00;19:00;0.878
07/01/2019;19:00;20:00;0.909
07/01/2019;20:00;21:00;0.946
07/01/2019;21:00;22:00;0.936
07/01/2019;22:00;23:00;0.880
07/01/2019;23:00;00:00;0.868
08/01/2019;00:00;01:00;0.863
08/01/2019;01:00;02:00;0.826
08/01/2019;02:00;03:00;0.823
